id,producto,tipo,precio,tiempoPreparacion
2,"Milanesa a caballo",comida,2800,45
3,Palta,comida,10000,1
4,nachos,comida,1000,15
5,Hamburguesa,comida,1000,20
8,Coca-Cola,Bebida,2,11
9,"Hamburguesa con Queso",Comida,6,12
10,"Ensalada Caesar",Ensalada,4,13
11,"Pizza Margarita",Comida,9,14
12,"Helado de Vainilla",Postre,4,15
13,"Papas Fritas",Aperitivo,3,10
14,Coca-Cola,Bebida,2,11
15,"Hamburguesa con Queso",Comida,6,12
16,"Ensalada Caesar",Ensalada,4,13
66,Comida,Comida,6,12
67,"Helado de Menta",Postre,3,10
68,Gaseosa,Bebida,2,11
69,Lomito,Comida,6,12
70,"Helado de Menta",Postre,3,10
71,Gaseosa,Bebida,2,11
72,Lomito,Comida,6,12
76,"Flan con Dulce de Leche",postre,12345,15
77,lele,mozo,1344,0
79,"Fugazzeta Rellena",comida,1234,30
80,"Fugazzeta Rellena",comida,1234,30
82,Fugazzeta,comida,100,30
83,"Milanesa a Caballo",comida,7000,30
84,"Hamburguesas de Garbanzo",comida,4000,30
85,Corona,cerveza,2300,30
86,Daikiri,bebida,3500,30
